blood_bank_id,blood_group,component_type,available_units,expiry_status,last_transaction_at
BB014,AB+,Platelets,1,EXPIRED,2023-02-16 14:29:00
BB017,AB+,Platelets,4,EXPIRED,2025-04-18 10:58:00
BB005,AB-,RBC,1,EXPIRED,2022-08-22 16:10:00
BB005,AB-,Plasma,0,EXPIRED,2022-09-01 12:02:00
BB005,AB-,Platelets,1,EXPIRED,2022-08-22 12:52:00
BB020,O-,RBC,0,EXPIRED,2026-05-23 15:54:00
BB020,O-,Plasma,1,VALID,2026-04-11 10:28:00
BB020,O-,Platelets,1,EXPIRED,2026-04-11 11:12:00
BB002,AB-,RBC,3,EXPIRED,2026-07-06 10:41:00
BB002,AB-,Plasma,3,VALID,2026-07-06 17:58:00
BB002,AB-,Platelets,1,EXPIRED,2026-07-06 09:35:00
BB017,AB-,RBC,0,EXPIRED,2024-08-10 15:55:00
BB017,AB-,Plasma,4,EXPIRED,2026-08-13 16:12:00
BB008,B-,Platelets,0,EXPIRED,2025-10-31 09:04:00
BB014,A-,RBC,5,EXPIRED,2026-03-04 15:06:00
BB014,A-,Plasma,2,VALID,2026-03-08 17:21:00
BB014,A-,Platelets,3,EXPIRED,2025-09-11 13:09:00
BB007,O-,Platelets,1,EXPIRED,2026-01-11 10:27:00
BB001,A-,Platelets,2,EXPIRED,2022-09-03 16:04:00
BB004,AB+,Platelets,0,EXPIRED,2025-05-06 12:29:00
BB019,B-,Platelets,0,EXPIRED,2024-07-01 15:16:00
BB009,AB-,RBC,0,EXPIRED,2025-04-07 17:51:00
BB009,AB-,Plasma,2,EXPIRED,2025-02-24 13:03:00
BB008,AB-,RBC,1,EXPIRED,2021-07-20 12:19:00
BB008,AB-,Plasma,1,EXPIRED,2021-07-20 09:59:00
BB019,AB-,Platelets,0,EXPIRED,2023-03-01 10:42:00
